Table S8. Detailed results qpWave testing of triples for the Baltic sea populations.
pop_fix pop_fix2 pop_test prank0_tail prank1_tail prank2_tail prank0_taildiff prank1_taildiff prank2_taildiff
RUS-LEV GBR-GRO SCO-HAR 1.80976958e-179 0.553108658 1 1 2.60998854e-182 0.553108658
RUS-LEV GBR-GRO GBR-GRO NA NA NA NA NA NA
RUS-LEV GBR-GRO BEL-MAL 1.26311471e-162 0.0764758719 1 1 2.25704862e-164 0.0764758719
RUS-LEV GBR-GRO FRA-VEY 6.72090092e-179 0.183782558 1 1 3.82759263e-181 0.183782558
RUS-LEV GBR-GRO DEN-NOR 1.16602753e-168 0.165071903 1 1 8.19886161e-171 0.165071903
RUS-LEV GBR-GRO NOR-UGE 1.80827409e-168 0.961984295 1 1 1.16339e-171 0.961984295
RUS-LEV GBR-GRO NOR-KVN 4.80484843e-167 0.724592246 1 1 5.22677695e-170 0.724592246
RUS-LEV GBR-GRO NOR-ENG 1.45169363e-166 0.589273462 1 1 2.13857973e-169 0.589273462
RUS-LEV GBR-GRO SWE-FIS 1.2792893e-163 0.282552855 1 1 4.96247083e-166 0.282552855
RUS-LEV GBR-GRO DEN-RES 9.26396566e-165 0.243507373 1 1 4.25692105e-167 0.243507373
RUS-LEV GBR-GRO SWE-LUN 2.69844242e-162 0.981820918 1 1 1.72947174e-165 0.981820918
RUS-LEV GBR-GRO GER-RUE 4.77628994e-166 0.83690826 1 1 4.15371843e-169 0.83690826
RUS-LEV GBR-GRO NOR-ROY 2.74370857e-168 0.065437591 1 1 5.55982091e-170 0.065437591
RUS-LEV GBR-GRO POL-GDY 5.83270426e-164 0.807329183 1 1 5.49148607e-167 0.807329183
RUS-LEV GBR-GRO LAT-JAU 1.34784792e-162 0.230466328 1 1 6.74232594e-165 0.230466328
RUS-LEV GBR-GRO SWE-GOT 1.74160845e-165 0.718938228 1 1 1.94348492e-168 0.718938228
RUS-LEV GBR-GRO FIN-SEI 3.03233325e-167 0.513594362 1 1 5.35251054e-170 0.513594362
RUS-LEV GBR-GRO FIN-HEL 9.88854684e-167 0.380142132 1 1 2.58704816e-169 0.380142132
RUS-LEV GBR-GRO FIN-TVA 3.69207353e-164 0.656860826 1 1 4.76394922e-167 0.656860826
RUS-LEV GBR-GRO EST-PUR 5.23761695e-161 0.784012087 1 1 5.31189202e-164 0.784012087
