Table S6. Two population symmetrical test with qpWave, the outgroups was set as ANC5					
pop_fix	pop_test	p_rank0_tail	p_rank1_tail	p_rank0_taildiff	p_rank1_taildiff
SCO-HAR	GBR-GRO	0.000143	1	1	0.000143
SCO-HAR	BEL-MAL	4.37E-94	1	1	4.37E-94
SCO-HAR	FRA-VEY	2.55E-128	1	1	2.55E-128
SCO-HAR	DEN-NOR	2.50E-108	1	1	2.50E-108
SCO-HAR	NOR-UGE	2.66E-161	1	1	2.66E-161
SCO-HAR	NOR-KVN	3.72E-144	1	1	3.72E-144
SCO-HAR	NOR-ENG	2.98E-158	1	1	2.98E-158
SCO-HAR	SWE-FIS	1.43E-157	1	1	1.43E-157
SCO-HAR	DEN-RES	1.20E-149	1	1	1.20E-149
SCO-HAR	SWE-LUN	9.65E-150	1	1	9.65E-150
SCO-HAR	GER-RUE	1.02E-162	1	1	1.02E-162
SCO-HAR	NOR-ROY	6.21E-159	1	1	6.21E-159
SCO-HAR	POL-GDY	9.94E-168	1	1	9.94E-168
SCO-HAR	LAT-JAU	4.53E-166	1	1	4.53E-166
SCO-HAR	SWE-GOT	3.48E-174	1	1	3.48E-174
SCO-HAR	FIN-SEI	1.24E-173	1	1	1.24E-173
SCO-HAR	FIN-HEL	2.91E-178	1	1	2.91E-178
SCO-HAR	FIN-TVA	4.37E-175	1	1	4.37E-175
SCO-HAR	EST-PUR	3.97E-174	1	1	3.97E-174
SCO-HAR	SWE-BOL	2.76E-177	1	1	2.76E-177
SCO-HAR	FIN-HAM	1.15E-176	1	1	1.15E-176
SCO-HAR	FIN-KIV	1.11E-176	1	1	1.11E-176
SCO-HAR	SWE-BYN	1.07E-171	1	1	1.07E-171
SCO-HAR	SWE-ABB	5.44E-168	1	1	5.44E-168
SCO-HAR	SWE-HAN	1.77E-176	1	1	1.77E-176
SCO-HAR	SWE-NAV	1.42E-157	1	1	1.42E-157
SCO-HAR	SWE-KIR	4.78E-174	1	1	4.78E-174
SCO-HAR	FIN-RII	4.07E-198	1	1	4.07E-198
SCO-HAR	FIN-KEV	1.27E-185	1	1	1.27E-185
SCO-HAR	FIN-PUL	1.02E-173	1	1	1.02E-173
SCO-HAR	FIN-UKO	8.59E-197	1	1	8.59E-197
SCO-HAR	FIN-KAR	1.25E-199	1	1	1.25E-199
SCO-HAR	FIN-KRK	1.61E-171	1	1	1.61E-171
SCO-HAR	FIN-PYO	1.17E-167	1	1	1.17E-167
SCO-HAR	FIN-RYT	5.62E-184	1	1	5.62E-184
SCO-HAR	RUS-MAS	5.29E-180	1	1	5.29E-180
SCO-HAR	RUS-KRU	5.40E-188	1	1	5.40E-188
SCO-HAR	RUS-BOL	2.38E-193	1	1	2.38E-193
SCO-HAR	RUS-LEV	1.12E-190	1	1	1.12E-190
GBR-GRO	BEL-MAL	5.97E-72	1	1	5.97E-72
GBR-GRO	FRA-VEY	4.01E-122	1	1	4.01E-122
GBR-GRO	DEN-NOR	2.88E-86	1	1	2.88E-86
GBR-GRO	NOR-UGE	1.37E-141	1	1	1.37E-141
GBR-GRO	NOR-KVN	3.50E-117	1	1	3.50E-117
GBR-GRO	NOR-ENG	2.06E-130	1	1	2.06E-130
GBR-GRO	SWE-FIS	1.20E-131	1	1	1.20E-131
GBR-GRO	DEN-RES	4.35E-128	1	1	4.35E-128
GBR-GRO	SWE-LUN	7.00E-134	1	1	7.00E-134
GBR-GRO	GER-RUE	4.98E-142	1	1	4.98E-142
GBR-GRO	NOR-ROY	1.83E-149	1	1	1.83E-149
GBR-GRO	POL-GDY	1.16E-148	1	1	1.16E-148
GBR-GRO	LAT-JAU	1.45E-149	1	1	1.45E-149
GBR-GRO	SWE-GOT	1.76E-155	1	1	1.76E-155
GBR-GRO	FIN-SEI	2.63E-159	1	1	2.63E-159
GBR-GRO	FIN-HEL	6.67E-163	1	1	6.67E-163
GBR-GRO	FIN-TVA	2.32E-157	1	1	2.32E-157
GBR-GRO	EST-PUR	1.71E-154	1	1	1.71E-154
GBR-GRO	SWE-BOL	2.38E-162	1	1	2.38E-162
GBR-GRO	FIN-HAM	8.39E-161	1	1	8.39E-161
GBR-GRO	FIN-KIV	2.86E-164	1	1	2.86E-164
GBR-GRO	SWE-BYN	1.63E-150	1	1	1.63E-150
GBR-GRO	SWE-ABB	1.96E-142	1	1	1.96E-142
GBR-GRO	SWE-HAN	4.82E-155	1	1	4.82E-155
GBR-GRO	SWE-NAV	8.87E-136	1	1	8.87E-136
GBR-GRO	SWE-KIR	1.48E-149	1	1	1.48E-149
GBR-GRO	FIN-RII	1.13E-169	1	1	1.13E-169
GBR-GRO	FIN-KEV	4.64E-154	1	1	4.64E-154
GBR-GRO	FIN-PUL	3.06E-145	1	1	3.06E-145
GBR-GRO	FIN-UKO	1.95E-165	1	1	1.95E-165
GBR-GRO	FIN-KAR	8.11E-168	1	1	8.11E-168
GBR-GRO	FIN-KRK	7.67E-150	1	1	7.67E-150
GBR-GRO	FIN-PYO	3.75E-151	1	1	3.75E-151
GBR-GRO	FIN-RYT	1.28E-157	1	1	1.28E-157
GBR-GRO	RUS-MAS	1.13E-151	1	1	1.13E-151
GBR-GRO	RUS-KRU	4.76E-160	1	1	4.76E-160
