Table S8. Detailed results of f4-ratio test with the EL as source.
A B X C O alpha stderr Zscore
RUS-BOL RUS-LEV FIN-KAR FRA-VEY CAN-TEM 0.968884 0.004285 226.096
RUS-BOL RUS-LEV FIN-UKO FRA-VEY CAN-TEM 0.980369 0.004839 202.578
RUS-BOL RUS-LEV FIN-PUL FRA-VEY CAN-TEM 0.976259 0.006461 151.098
RUS-BOL RUS-LEV FIN-KEV FRA-VEY CAN-TEM 0.972182 0.006671 145.735
RUS-BOL RUS-LEV FIN-RII FRA-VEY CAN-TEM 0.968481 0.005909 163.902
RUS-BOL RUS-LEV SWE-KIR FRA-VEY CAN-TEM 0.94157 0.006745 139.601
RUS-BOL RUS-LEV SWE-NAV FRA-VEY CAN-TEM 0.910937 0.009566 95.225
RUS-BOL RUS-LEV SWE-HAN FRA-VEY CAN-TEM 0.895173 0.007897 113.353
RUS-BOL RUS-LEV SWE-ABB FRA-VEY CAN-TEM 0.886563 0.006746 131.422
RUS-BOL RUS-LEV SWE-BYN FRA-VEY CAN-TEM 0.885414 0.007184 123.248
RUS-BOL RUS-LEV FIN-KIV FRA-VEY CAN-TEM 0.679865 0.006048 112.418
RUS-BOL RUS-LEV FIN-HAM FRA-VEY CAN-TEM 0.661871 0.006428 102.967
RUS-BOL RUS-LEV SWE-BOL FRA-VEY CAN-TEM 0.660085 0.006033 109.419
RUS-BOL RUS-LEV EST-PUR FRA-VEY CAN-TEM 0.668261 0.006713 99.55
RUS-BOL RUS-LEV FIN-TVA FRA-VEY CAN-TEM 0.643907 0.006339 101.582
RUS-BOL RUS-LEV FIN-HEL FRA-VEY CAN-TEM 0.65137 0.006114 106.54
RUS-BOL RUS-LEV FIN-SEI FRA-VEY CAN-TEM 0.629662 0.006551 96.119
RUS-BOL RUS-LEV SWE-GOT FRA-VEY CAN-TEM 0.627282 0.006598 95.069
RUS-BOL RUS-LEV LAT-JAU FRA-VEY CAN-TEM 0.590778 0.007344 80.443
RUS-BOL RUS-LEV POL-GDY FRA-VEY CAN-TEM 0.54302 0.007361 73.774
RUS-BOL RUS-LEV NOR-ROY FRA-VEY CAN-TEM 0.567926 0.009416 60.315
RUS-BOL RUS-LEV GER-RUE FRA-VEY CAN-TEM 0.424713 0.008143 52.16
RUS-BOL RUS-LEV SWE-LUN FRA-VEY CAN-TEM 0.413923 0.010017 41.322
RUS-BOL RUS-LEV DEN-RES FRA-VEY CAN-TEM 0.300864 0.00994 30.267
RUS-BOL RUS-LEV SWE-FIS FRA-VEY CAN-TEM 0.200987 0.00967 20.785
RUS-BOL RUS-LEV NOR-ENG FRA-VEY CAN-TEM 0.163877 0.009839 16.656
RUS-BOL RUS-LEV NOR-KVN FRA-VEY CAN-TEM 0.160943 0.010589 15.2
RUS-BOL RUS-LEV NOR-UGE FRA-VEY CAN-TEM 0.200455 0.010539 19.021
RUS-BOL RUS-LEV DEN-NOR FRA-VEY CAN-TEM -0.040024 0.011098 -3.607
RUS-BOL RUS-LEV FRA-VEY FRA-VEY CAN-TEM 0 0 NA
RUS-BOL RUS-LEV BEL-MAL FRA-VEY CAN-TEM -0.115583 0.010957 -10.549
RUS-BOL RUS-LEV GBR-GRO FRA-VEY CAN-TEM -0.34507 0.016746 -20.606
RUS-BOL RUS-LEV FIN-KAR DEN-NOR CAN-TEM 0.969675 0.004142 234.101
RUS-BOL RUS-LEV FIN-UKO DEN-NOR CAN-TEM 0.98062 0.004659 210.465
RUS-BOL RUS-LEV FIN-PUL DEN-NOR CAN-TEM 0.97635 0.006288 155.26
RUS-BOL RUS-LEV FIN-KEV DEN-NOR CAN-TEM 0.973575 0.006505 149.661
RUS-BOL RUS-LEV FIN-RII DEN-NOR CAN-TEM 0.969444 0.005736 169.013
RUS-BOL RUS-LEV SWE-KIR DEN-NOR CAN-TEM 0.9427 0.00643 146.616
RUS-BOL RUS-LEV SWE-NAV DEN-NOR CAN-TEM 0.913758 0.009233 98.969
RUS-BOL RUS-LEV SWE-HAN DEN-NOR CAN-TEM 0.89749 0.007348 122.142
RUS-BOL RUS-LEV SWE-ABB DEN-NOR CAN-TEM 0.890228 0.006245 142.542
RUS-BOL RUS-LEV SWE-BYN DEN-NOR CAN-TEM 0.889318 0.006576 135.232
RUS-BOL RUS-LEV FIN-KIV DEN-NOR CAN-TEM 0.691302 0.004478 154.376
