Table S7. Detailed results of f4-ratio test with the WL as source.
A B X C O alpha stderr Zscore
GBR-GRO BEL-MAL FIN-KAR RUS-LEV CAN-TEM 0.014646 0.004199 3.488
GBR-GRO BEL-MAL FIN-UKO RUS-LEV CAN-TEM 0.005407 0.005275 1.025
GBR-GRO BEL-MAL FIN-PUL RUS-LEV CAN-TEM 0.001603 0.006833 0.235
GBR-GRO BEL-MAL FIN-KEV RUS-LEV CAN-TEM 0.008008 0.00748 1.071
GBR-GRO BEL-MAL FIN-RII RUS-LEV CAN-TEM 0.000359 0.00554 0.065
GBR-GRO BEL-MAL SWE-KIR RUS-LEV CAN-TEM 0.020755 0.006499 3.193
GBR-GRO BEL-MAL SWE-NAV RUS-LEV CAN-TEM 0.035841 0.008753 4.095
GBR-GRO BEL-MAL SWE-HAN RUS-LEV CAN-TEM 0.022478 0.008495 2.646
GBR-GRO BEL-MAL SWE-ABB RUS-LEV CAN-TEM 0.025461 0.007566 3.365
GBR-GRO BEL-MAL SWE-BYN RUS-LEV CAN-TEM 0.030856 0.007097 4.348
GBR-GRO BEL-MAL FIN-KIV RUS-LEV CAN-TEM 0.099081 0.00628 15.778
GBR-GRO BEL-MAL FIN-HAM RUS-LEV CAN-TEM 0.105993 0.006819 15.543
GBR-GRO BEL-MAL SWE-BOL RUS-LEV CAN-TEM 0.107517 0.006839 15.721
GBR-GRO BEL-MAL EST-PUR RUS-LEV CAN-TEM 0.103429 0.006599 15.674
GBR-GRO BEL-MAL FIN-TVA RUS-LEV CAN-TEM 0.117559 0.007156 16.429
GBR-GRO BEL-MAL FIN-HEL RUS-LEV CAN-TEM 0.110269 0.006726 16.394
GBR-GRO BEL-MAL FIN-SEI RUS-LEV CAN-TEM 0.120323 0.007397 16.266
GBR-GRO BEL-MAL SWE-GOT RUS-LEV CAN-TEM 0.11779 0.007327 16.075
GBR-GRO BEL-MAL LAT-JAU RUS-LEV CAN-TEM 0.141926 0.007755 18.3
GBR-GRO BEL-MAL POL-GDY RUS-LEV CAN-TEM 0.192866 0.00746 25.854
GBR-GRO BEL-MAL NOR-ROY RUS-LEV CAN-TEM 0.133672 0.008594 15.553
GBR-GRO BEL-MAL GER-RUE RUS-LEV CAN-TEM 0.298969 0.007464 40.056
GBR-GRO BEL-MAL SWE-LUN RUS-LEV CAN-TEM 0.297414 0.011248 26.441
GBR-GRO BEL-MAL DEN-RES RUS-LEV CAN-TEM 0.40248 0.009624 41.822
GBR-GRO BEL-MAL SWE-FIS RUS-LEV CAN-TEM 0.545861 0.008073 67.613
GBR-GRO BEL-MAL NOR-ENG RUS-LEV CAN-TEM 0.592927 0.006976 84.992
GBR-GRO BEL-MAL NOR-KVN RUS-LEV CAN-TEM 0.598811 0.008349 71.722
GBR-GRO BEL-MAL NOR-UGE RUS-LEV CAN-TEM 0.593446 0.011931 49.742
GBR-GRO BEL-MAL DEN-NOR RUS-LEV CAN-TEM 0.87492 0.005256 166.469
GBR-GRO BEL-MAL FRA-VEY RUS-LEV CAN-TEM 0.972643 0.012582 77.304
GBR-GRO BEL-MAL BEL-MAL RUS-LEV CAN-TEM 1 0 8174130595703.7
GBR-GRO BEL-MAL GBR-GRO RUS-LEV CAN-TEM 1.883739 0.022337 84.334
GBR-GRO FRA-VEY FIN-KAR RUS-LEV CAN-TEM 0.014606 0.004275 3.417
GBR-GRO FRA-VEY FIN-UKO RUS-LEV CAN-TEM 0.006645 0.005443 1.221
GBR-GRO FRA-VEY FIN-PUL RUS-LEV CAN-TEM 0.002017 0.007197 0.28
GBR-GRO FRA-VEY FIN-KEV RUS-LEV CAN-TEM 0.010041 0.00767 1.309
GBR-GRO FRA-VEY FIN-RII RUS-LEV CAN-TEM 0.002036 0.005565 0.366
GBR-GRO FRA-VEY SWE-KIR RUS-LEV CAN-TEM 0.022204 0.006734 3.297
GBR-GRO FRA-VEY SWE-NAV RUS-LEV CAN-TEM 0.034527 0.008865 3.895
GBR-GRO FRA-VEY SWE-HAN RUS-LEV CAN-TEM 0.023608 0.008582 2.751
GBR-GRO FRA-VEY SWE-ABB RUS-LEV CAN-TEM 0.026513 0.007939 3.34
GBR-GRO FRA-VEY SWE-BYN RUS-LEV CAN-TEM 0.032419 0.007409 4.375
GBR-GRO FRA-VEY FIN-KIV RUS-LEV CAN-TEM 0.103147 0.006622 15.577
GBR-GRO FRA-VEY FIN-HAM RUS-LEV CAN-TEM 0.109636 0.007081 15.483
GBR-GRO FRA-VEY SWE-BOL RUS-LEV CAN-TEM 0.111426 0.007104 15.685
GBR-GRO FRA-VEY EST-PUR RUS-LEV CAN-TEM 0.106892 0.006888 15.518
GBR-GRO FRA-VEY FIN-TVA RUS-LEV CAN-TEM 0.121338 0.007503 16.171
GBR-GRO FRA-VEY FIN-HEL RUS-LEV CAN-TEM 0.114231 0.007029 16.251
GBR-GRO FRA-VEY FIN-SEI RUS-LEV CAN-TEM 0.124742 0.007639 16.33
GBR-GRO FRA-VEY SWE-GOT RUS-LEV CAN-TEM 0.12259 0.007598 16.135
GBR-GRO FRA-VEY LAT-JAU RUS-LEV CAN-TEM 0.146108 0.008047 18.158
GBR-GRO FRA-VEY POL-GDY RUS-LEV CAN-TEM 0.19974 0.008218 24.304
GBR-GRO FRA-VEY NOR-ROY RUS-LEV CAN-TEM 0.138315 0.009072 15.247
GBR-GRO FRA-VEY GER-RUE RUS-LEV CAN-TEM 0.308629 0.008653 35.667
GBR-GRO FRA-VEY SWE-LUN RUS-LEV CAN-TEM 0.307001 0.01183 25.952
GBR-GRO FRA-VEY DEN-RES RUS-LEV CAN-TEM 0.414896 0.011234 36.931
GBR-GRO FRA-VEY SWE-FIS RUS-LEV CAN-TEM 0.561813 0.01138 49.368
GBR-GRO FRA-VEY NOR-ENG RUS-LEV CAN-TEM 0.610227 0.010416 58.586
GBR-GRO FRA-VEY NOR-KVN RUS-LEV CAN-TEM 0.616609 0.011353 54.312
GBR-GRO FRA-VEY NOR-UGE RUS-LEV CAN-TEM 0.609298 0.012989 46.909
GBR-GRO FRA-VEY DEN-NOR RUS-LEV CAN-TEM 0.898002 0.012331 72.822
GBR-GRO FRA-VEY FRA-VEY RUS-LEV CAN-TEM 1 0 8098948986041.48
GBR-GRO FRA-VEY BEL-MAL RUS-LEV CAN-TEM 1.027931 0.013307 77.248
GBR-GRO FRA-VEY GBR-GRO RUS-LEV CAN-TEM 1.932115 0.035643 54.208
GBR-GRO NOR-UGE FIN-KAR RUS-LEV CAN-TEM 0.023476 0.006932 3.386
GBR-GRO NOR-UGE FIN-UKO RUS-LEV CAN-TEM 0.00956 0.008864 1.078
GBR-GRO NOR-UGE FIN-PUL RUS-LEV CAN-TEM 0.002479 0.011762 0.211
GBR-GRO NOR-UGE FIN-KEV RUS-LEV CAN-TEM 0.015426 0.01252 1.232
GBR-GRO NOR-UGE FIN-RII RUS-LEV CAN-TEM 0.00253 0.009172 0.276
GBR-GRO NOR-UGE SWE-KIR RUS-LEV CAN-TEM 0.035062 0.010971 3.196
