,Pop1 v.s. Pop 5 (GBR-GRO v.s. RUS-LEV),,,,,Pop1 v.s. Pop3 (GBR-GRO v.s. DEN-NOR),,,,,Pop4 v.s. Pop5 (FIN-HEL vs. RUS-LEV),,,,,Pop3 v.s. Pop4 (DEN-NOR vs. FIN-HEL),,,,,Pop3 v.s. Pop5 (DEN-NOR vs. RUS-LEV),,,,
Model,IM_NeC,SC_NeC,SI_NeC,AM_NeC,two_ep_NeC,IM_NeC,SC_NeC,SI_NeC,AM_NeC,two_ep_NeC,IM_NeC,SC_NeC,SI_NeC,AM_NeC,two_ep_NeC,IM_NeC,SC_NeC,SI_NeC,AM_NeC,two_ep_NeC,IM_NeC,SC_NeC,SI_NeC,AM_NeC,two_ep_NeC
logL,-3366,-3366,-4874,-3296,-3290,-3092,-3153,-4677,-3014,-3013,-2910,-2911,-2923,-2773,-2773,-3038,-3086,-3748,-2920,-2881,-3077,-3109,-3296,-2916,-2916
logL.sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nea1,613114,687158,10083184,94395,84636,118315,9951075,9034421,102979,101048,153117,154592,146073,90414,82506,204890,10266174,10476229,151472,141717,9556824,9969728,10044624,118874,118975
Nea1.sd,24351,26999,501478,153,445,293,199161,1722869,122,84,6285,4312,2091,21179,10698,3911,89357,274467,1041,1545,960528,485089,496932,838,840
Neb1,103303,103288,101176,119991,113340,15824,95068,79798,92328,95692,74990,74940,77338,95135,95271,7481,72901,31470,82344,93894,57369,57524,25601,97996,97764
Neb1.sd,61,26,215,350,340,100,93,511,139,85,508,594,507,946,598,185,1547,2015,420,360,1380,2127,2006,431,214
Nea2,8286095,9545114,96189,115936,113265,105409,208329,258889,91184,92686,8524984,7935413,9516230,4755037,6153793,80378,163213,150568,52824,81601,129870,135890,117099,114943,114646
Nea2.sd,2195456,431664,284,26,465,213,3998,6279,81,62,1464140,1642016,711039,2138946,2562416,259,4706,1761,403,844,1421,2405,1491,51,869
Neb2,98029,98023,103168,79931,93642,31464,97646,96809,123130,117204,60394,58428,55193,85236,86090,19435,64424,52186,102456,81336,82178,80689,68813,92647,92375
Neb2.sd,34,74,62,97,391,762,62,486,196,306,2368,2371,1633,571,1063,427,308,1710,460,179,162,911,2625,76,331
M12_1,1.37E-05,1.37E-05,0,2.59E-05,8.46E-06,2.57E-05,2.38E-05,0,3.56E-05,3.92E-08,8.12E-06,8.37E-06,0,7.04E-05,1.06E-08,2.59E-05,2.52E-05,0,5.30E-05,9.14E-09,2.12E-05,2.54E-05,0,0.000114,7.44E-09
M12_1.sd,2.76E-08,1.36E-08,0,4.20E-08,1.69E-07,5.50E-08,2.26E-08,0,6.21E-08,1.76E-08,8.19E-07,4.71E-07,0,6.87E-05,5.30E-09,2.55E-07,4.91E-07,0,3.19E-07,1.33E-09,1.07E-07,7.54E-07,0,1.70E-07,2.38E-09
M21_1,9.55E-07,9.46E-07,0,2.25E-06,5.24E-09,2.22E-05,2.14E-05,0,3.17E-05,3.92E-06,1.17E-05,1.20E-05,0,0.000492,1.54E-08,3.83E-05,3.48E-05,0,9.18E-05,2.06E-05,1.95E-06,2.24E-06,0,2.73E-08,2.47E-08
M21_1.sd,1.05E-08,6.37E-09,0,1.07E-08,2.78E-10,6.71E-08,2.23E-08,0,6.10E-08,1.47E-07,6.52E-07,3.05E-07,0,1.35E-05,1.21E-08,5.59E-07,4.88E-07,0,9.87E-07,1.83E-07,2.37E-07,2.55E-07,0,1.99E-08,1.74E-08
M12_2,0,0,0,0,3.50E-05,0,0,0,0,3.77E-05,0,0,0,0,9.15E-05,0,0,0,0,0.000119,0,0,0,0,0.000114
M12_2.sd,0,0,0,0,5.25E-07,0,0,0,0,9.66E-08,0,0,0,0,3.92E-05,0,0,0,0,2.31E-07,0,0,0,0,4.87E-07
M21_2,0,0,0,0,6.05E-06,0,0,0,0,3.02E-05,0,0,0,0,0.000509,0,0,0,0,3.30E-05,0,0,0,0,2.39E-07
M21_2.sd,0,0,0,0,3.22E-07,0,0,0,0,4.80E-08,0,0,0,0,1.35E-05,0,0,0,0,1.10E-06,0,0,0,0,3.71E-07
T1_year,5891,5871,7444,33485,32346,32478,8962,7204,39998,40063,5506,5507,5328,225558,173797,21948,11004,9766,30987,66514,13587,12182,12270,186546,168644
T1_year.sd,30,23,40,34,109,84,36,37,28,14,168,157,94,62550,23094,151,132,114,196,773,133,178,114,18654,15525
T2_year,48493,48516,25174,6169,16504,402,36528,12211,4133,4551,6641,6280,5399,10084,10168,408,12398,3235,6497,10280,9165,8801,2915,10408,10354
T2_year.sd,42,41,58,17,488,0,58,94,21,18,311,288,186,81,115,0,402,215,28,31,284,410,246,19,57
Divergence,30137,30129,20030,36569,40598,32679,27225,13310,42064,42339,8827,8647,8028,230601,178881,22153,17203,11383,34236,71654,18170,16583,13728,191750,173821
Divergence.sd,9,7,14,39,275,84,30,22,33,16,42,21,16,62552,23106,151,104,19,191,774,48,91,20,18658,15535
